"nearestFeature","WT","Y664F"
"ABCE1","2; 2.5%,30.3%",NA
"ACTN4","2; 1.6%,1.0%",NA
"ACTR3","1; 34.5%","1; 2.6%"
"ARAP2","2; 1.5%,1.1%",NA
"ARID1A","2; 1.3%,3.6%","3; 2.8%,5.3%,25.3%"
"ARIH2","1; 3.7%","1; 1.2%"
"ATXN7","2; 2.1%,34.3%",NA
"DHX9","2; 13.0%,6.4%",NA
"EIF3A","2; 90.5%,1.1%",NA
"EIF3H","2; 6.2%,13.7%",NA
"INO80","2; 1.5%,2.4%",NA
"MOB1A","2; 3.3%,6.0%",NA
"NFAT5","2; 84.9%,1.1%",NA
"PAPD7","2; 12.7%,3.2%",NA
"SMG1P5","2; 7.5%,1.1%",NA
"UBE2G1","2; 2.6%,12.5%",NA
"VPS13D","2; 35.9%,6.9%",NA
"YTHDF3","3; 2.6%,6.0%,1.3%",NA
"ZNF34","2; 1.0%,4.8%",NA
